id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
227,Robert Lewandowski,34,2862,23,25.93928100913763,7,6.353777157142758,135,36,2,1,F S,Barcelona,23,25.196005009114742,36.746243976056576,9.871428990736604
7967,Anssumane Fati,36,1342,7,10.52517001517117,3,1.694920001551509,61,15,3,0,F S,Barcelona,7,10.52517001517117,16.356084873899817,5.562163054011762
8026,Raphinha,36,2107,7,10.038539066910744,7,10.533210409805179,79,57,10,0,F M S,Barcelona,7,10.038539066910744,25.81641324609518,13.703732771798968
8935,Pedri,26,2002,6,4.976779539138079,1,5.747395858168602,22,42,2,0,F M S,Barcelona,6,4.976779539138079,24.879692651331425,17.11201692186296
3226,Ousmane Dembélé,25,1427,5,5.202294500544667,7,5.9506505243480206,49,41,4,0,F M S,Barcelona,5,5.202294500544667,16.991774890571833,7.3921117503196
2104,Sergi Roberto,23,1305,4,2.2950772028416395,1,1.1037648497149348,18,11,3,0,D M S,Barcelona,4,2.2950772028416395,10.880764681845903,8.29584439471364
6441,Ferrán Torres,33,1372,4,5.989609178155661,2,4.729961212724447,39,26,5,1,F M S,Barcelona,4,5.24633189663291,12.554534675553441,4.494726527482271
2093,Jordi Alba,24,1414,2,0.7749459184706211,3,7.082583539187908,13,38,4,1,D S,Barcelona,2,0.7749459184706211,14.225346598774195,10.112800365313888
7781,Frenkie de Jong,33,2542,2,2.693555761128664,4,4.7559387451037765,18,45,3,0,M S,Barcelona,2,2.693555761128664,29.088483943603933,23.79800712969154
9804,Gavi,36,2553,2,2.9566243793815374,4,3.826028222218156,28,38,10,0,F M S,Barcelona,2,2.9566243793815374,19.350502401590347,14.044996475800872
200,Andreas Christensen,23,1783,1,1.195682905614376,1,0.7138344347476959,10,6,2,0,D S,Barcelona,1,1.195682905614376,8.484907913021743,8.344191211275756
555,Memphis Depay,2,124,1,1.0523150265216827,0,0.09116020053625107,6,3,0,0,F,Barcelona,1,1.0523150265216827,1.6564030051231384,0.710014384239912
1489,Franck Kessié,28,953,1,1.5637680646032095,1,0.7115019056946039,15,8,4,0,M S,Barcelona,1,1.5637680646032095,5.656166490167379,3.493413208052516
1621,Marcos Alonso,24,1143,1,1.0921338154003024,0,0.4133883249014616,6,6,3,0,D S,Barcelona,1,1.0921338154003024,7.397888980805874,7.354059033095837
6433,Jules Koundé,29,2437,1,1.694428775459528,3,2.6680806763470173,14,16,2,0,D S,Barcelona,1,1.694428775459528,18.554445335641503,16.812043519690633
8045,Eric Garcia,24,1411,1,1.0597839690744877,0,0.27242177724838257,7,1,3,0,D M S,Barcelona,1,1.0597839690744877,8.766820788383484,8.425637289881706
9805,Álex Balde,33,2484,1,1.72861916013062,6,4.629321213811636,19,22,4,0,D F M S,Barcelona,1,1.72861916013062,18.201229901984334,14.838368845172226
318,Pierre-Emerick Aubameyang,1,3,0,0.027037300169467926,0,0,1,0,0,0,S,Barcelona,0,0.027037300169467926,0.027037300169467926,0
492,Héctor Bellerín,3,135,0,0,0,0.1297370046377182,0,1,0,0,D S,Barcelona,0,0,2.1420730352401733,2.1420730352401733
2090,Marc-André ter Stegen,38,3352,0,0,0,0.2266562059521675,0,3,0,0,GK,Barcelona,0,0,12.075349856168032,11.93643076531589
2092,Gerard Piqué,6,382,0,0.3304754048585892,0,0.025294799357652664,3,1,2,0,D S,Barcelona,0,0.3304754048585892,3.3222289830446243,3.3222289830446243
2095,Sergio Busquets,30,2359,0,0.354838153347373,4,2.581171413883567,9,25,6,1,M S,Barcelona,0,0.354838153347373,18.166228680871427,16.97447824385017
7287,Iñaki Peña,2,68,0,0,0,0,0,0,0,0,S,Barcelona,0,0,0,0
8091,Ronald Araújo,22,1813,0,2.0079631358385086,2,1.0102086290717125,18,7,5,1,D S,Barcelona,0,2.0079631358385086,13.341330552473664,12.81680859811604
11025,Pablo Torre,8,126,0,0.017193028703331947,0,0.45428822189569473,1,4,0,0,F S,Barcelona,0,0.017193028703331947,0.9554243385791779,0.9094655923545361
11167,Chadi Riad,1,1,0,0,0,0,0,0,0,0,S,Barcelona,0,0,0,0
11328,Ángel Alarcón,3,19,0,0.044088199734687805,0,0,1,0,0,0,S,Barcelona,0,0.044088199734687805,0.08238060027360916,0.08238060027360916
11471,Ángel Alarcón,1,1,0,0,0,0,0,0,0,0,S,Barcelona,0,0,0,0
11490,Aleix Garrido,1,5,0,0,0,0,0,0,0,0,S,Barcelona,0,0,0,0
11527,Lamine Yamal,1,2,0,0.4306701719760895,0,0,1,0,0,0,S,Barcelona,0,0.4306701719760895,0.478724867105484,0.048054713755846024
